INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT
id	opt_type	time_type	time_start	sceneid	scriptid	time_slice	reserve1	reserve2	reserve3	reserve4	reserve5	¹ã²¥ÀàÐÍ	Âý±¨¼ä¸ô	Âý±¨ÄÚÈÝ$1$	Âý±¨½áÊøÊ±¼äµã	¿ì±¨¼ä¸ô	¿ì±¨ÄÚÈÝ$1$	¿ì±¨½áÊøÊ±¼äµã	¸Õ¿ª±¨¼ä¸ô	¸Õ¿ª±¨ÄÚÈÝ$1$	¸Õ¿ª±¨½áÊøÊ±¼äµã	½øÐÐÖÐ±¨¼ä¸ô	½øÐÐÖÐ±¨ÄÚÈÝ$1$	½øÐÐÖÐ±¨½áÊøÊ±¼äµã	¿ì½áÊø±¨¼ä¸ô	¿ì½áÊø±¨ÄÚÈÝ$1$	½áÊøÊ±¼äµã	ruler	»î¶¯Ãû³Æ$1$	Ê§Ð§Ê±¼ä
0	0	1	66	0	808000	0	0	0	0	0	0	4	30	#{QJ_20080317_01}	230	3	#{QJ_20080317_02}	240	10	#{QJ_20080317_03}	320	3	#{QJ_20080317_04}	329	1	#{QJ_20080317_05}	330	0	KÏ cuµc	95
1	0	1	54	2	808000	4	-1	-1	-1	-1	-1	4	30	#{KJ_20080317_01}	230	3	#{KJ_20080317_02}	240	170	#{KJ_20080317_03}	410	3	#{KJ_20080317_04}	420	-1	-1	-1	-1	0	95
2	0	1	70	2	801016	0	-1	-1	-1	-1	1000	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	95
3	0	1	82	2	801019	0	-1	-1	-1	-1	-1	4	10	#{KJ_20080317_05}	20	3	#{KJ_20080317_06}	30	30	#{KJ_20080317_07}	50	3	#{KJ_20080317_08}	60	-1	-1	-1	-1	0	95
4	0	1	84	2	801020	0	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	95
5	0	1	86	2	801021	0	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	95
6	0	1	0	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BOSS môn phái	95
7	0	1	32	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BOSS môn phái	95
8	0	1	64	0	808001	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BOSS môn phái	95
