INT	INT	STRING	STRING	INT	INT	STRING	STRING	STRING	STRING
ID	time_type	time_start	time_end	time_slice	time_invalid	campaignName$1$	desc$1$	additionDesc$1$	icon
0	0	0102-1900	0102-2300	0	0	Hoành täo mçu ðan uy¬n	LÕc Dß½ng Ð°ng Quán, ÐÕi Lý HÕ Thanh Thanh, Tô Châu Vu Thiên Thiên 		Huodong_6
1	0	0206-1900	0206-2300	0	0	Hoành täo mçu ðan uy¬n	LÕc Dß½ng Ð°ng Quán, ÐÕi Lý HÕ Thanh Thanh, Tô Châu Vu Thiên Thiên 		Huodong_6
2	0	0306-1900	0306-2300	0	0	Hoành täo mçu ðan uy¬n	LÕc Dß½ng Ð°ng Quán, ÐÕi Lý HÕ Thanh Thanh, Tô Châu Vu Thiên Thiên 		Huodong_6
3	0	0403-1900	0403-2300	0	0	Hoành täo mçu ðan uy¬n	LÕc Dß½ng Ð°ng Quán, ÐÕi Lý HÕ Thanh Thanh, Tô Châu Vu Thiên Thiên 		Huodong_6
4	0	0501-1900	0501-2300	0	0	Hoành täo mçu ðan uy¬n	LÕc Dß½ng Ð°ng Quán, ÐÕi Lý HÕ Thanh Thanh, Tô Châu Vu Thiên Thiên 		Huodong_6
5	0	0605-1900	0605-2300	0	0	Hoành täo mçu ðan uy¬n	LÕc Dß½ng Ð°ng Quán, ÐÕi Lý HÕ Thanh Thanh, Tô Châu Vu Thiên Thiên 		Huodong_6
6	0	0703-1900	0703-2300	0	0	Hoành täo mçu ðan uy¬n	LÕc Dß½ng Ð°ng Quán, ÐÕi Lý HÕ Thanh Thanh, Tô Châu Vu Thiên Thiên 		Huodong_6
7	0	0807-1900	0807-2300	0	0	Hoành täo mçu ðan uy¬n	LÕc Dß½ng Ð°ng Quán, ÐÕi Lý HÕ Thanh Thanh, Tô Châu Vu Thiên Thiên 		Huodong_6
8	0	0904-1900	0904-2300	0	0	Hoành täo mçu ðan uy¬n	LÕc Dß½ng Ð°ng Quán, ÐÕi Lý HÕ Thanh Thanh, Tô Châu Vu Thiên Thiên 		Huodong_6
9	0	1002-1900	1002-2300	0	0	Hoành täo mçu ðan uy¬n	LÕc Dß½ng Ð°ng Quán, ÐÕi Lý HÕ Thanh Thanh, Tô Châu Vu Thiên Thiên 		Huodong_6
10	0	1106-1900	1106-2300	0	0	Hoành täo mçu ðan uy¬n	LÕc Dß½ng Ð°ng Quán, ÐÕi Lý HÕ Thanh Thanh, Tô Châu Vu Thiên Thiên 		Huodong_6
11	0	1204-1900	1204-2300	0	0	Hoành täo mçu ðan uy¬n	LÕc Dß½ng Ð°ng Quán, ÐÕi Lý HÕ Thanh Thanh, Tô Châu Vu Thiên Thiên 		Huodong_6
12	0	0116-1900	0116-2300	0	0	Hoành täo mçu ðan uy¬n	LÕc Dß½ng Ð°ng Quán, ÐÕi Lý HÕ Thanh Thanh, Tô Châu Vu Thiên Thiên 		Huodong_6
13	0	0220-1900	0220-2300	0	0	Hoành täo mçu ðan uy¬n	LÕc Dß½ng Ð°ng Quán, ÐÕi Lý HÕ Thanh Thanh, Tô Châu Vu Thiên Thiên 		Huodong_6
14	0	0320-1900	0320-2300	0	0	Hoành täo mçu ðan uy¬n	LÕc Dß½ng Ð°ng Quán, ÐÕi Lý HÕ Thanh Thanh, Tô Châu Vu Thiên Thiên 		Huodong_6
16	0	0417-1900	0417-2300	0	0	Hoành täo mçu ðan uy¬n	LÕc Dß½ng Ð°ng Quán, ÐÕi Lý HÕ Thanh Thanh, Tô Châu Vu Thiên Thiên 		Huodong_6
17	0	0515-1900	0515-2300	0	0	Hoành täo mçu ðan uy¬n	LÕc Dß½ng Ð°ng Quán, ÐÕi Lý HÕ Thanh Thanh, Tô Châu Vu Thiên Thiên 		Huodong_6
26	2	Feb-00	Feb-32	0	0	Hoa S½n lu§n kiªm	Tô Châu Tô Kiªm Lînh (193, 138)		Huodong_4
27	2	3-1500	3-1600	0	0	ÐÕi Hµi TÖ Võ	Tô Châu Tùy Báo Minh (173, 130)		Huodong_3
28	2	Apr-00	Apr-32	0	0	Hoa S½n lu§n kiªm	Tô Châu Tô Kiªm Lînh (193, 138)		Huodong_4
29	2	6-0000	Jun-59	0	0	Ngày Thß½ng nhân	Bang Phái Thành Th¸ Ti«n Vi Nh¤t (149, 56)		Huodong_2
30	2	6-1300	Jun-00	0	0	TÖ l® phø bän cüa bang phái 	Kính H° T« Sát Vân (199, 54)		Huodong_5
31	2	6-1500	6-1600	0	0	ÐÕi Hµi TÖ Võ	Tô Châu Tùy Báo Minh (173, 130)		Huodong_3
32	2	0-0000	0-2359	0	0	Ngày tªt Tào V§n	Lþi ích Tào V§n hôm nay g¤p ðôi		Huodong_1
33	2	5-0000	May-59	0	0	Sñ ki®n Thiên t¥m	Tä Ð°ng · Tô Châu (129,213)		Huodong_15
34	2	0-1500	0-1632	0	0	Hoa S½n lu§n kiªm	Tô Châu Tô Kiªm Lînh (193, 138)		Huodong_4
35	1	0-1000	0-1030	0	0	Ðánh lén môn phái	Xu¤t hi®n ngçu nhiên · mß¶i ðÕi môn phái		
36	1	0-1045		0	0	CÕnh KÖ Trß¶ng bäo sß½ng	Ngß¶i tiªp dçn CÕnh KÛ Trß¶ng cüa các thành		
37	1	0-1030		0	0	Tiêu di®t Thiên Niên Bång Phách	Tiêu di®t Thiên Niên Bång Phách · Võ Di S½n và 9 tên Bång Yêu		
38	1	0-1015		0	0	Bäo Sß½ng Tranh ÐoÕt	Ð¸nh ði¬m · Thánh Thú S½n tÕo m¾i		
39	1	0-1100	0-1545	0	0	Trân thú Long Quy	Thánh Thú S½n Long Quy (172, 34)		
40	1	0-1130		0	0	Tiêu di®t Huy«n Kích Kim Cang	Tiêu di®t Huy«n Kích Kim Cang · Thß½ng S½n và 9 tên Huy«n Kích Th¥n Tß¾ng		
41	1	0-1130	0-1430	0	0	KÏ cuµc	Tô Châu Trß½ng D¸ch Qu¯c, LÕc Dß½ng Vß½ng Tích Tân, ÐÕi Lý Lßu Tr÷ng Phü		
42	1	0-1200	0-1230	0	0	Ðánh lén môn phái	Xu¤t hi®n ngçu nhiên · mß¶i ðÕi môn phái		
43	1	0-1230		0	0	Tiêu di®t Mãng C± Ðµc Cáp Vß½ng	Tiêu di®t Mãng C± Ðµc Cáp Vß½ng · Huy«n Vû Ðäo và 9 tên Mãng C± Ðµc Cáp		
44	1	0-1245		0	0	CÕnh KÖ Trß¶ng bäo sß½ng	Ngß¶i tiªp dçn CÕnh KÛ Trß¶ng cüa các thành		
45	1	0-1300	0-1400	0	0	Kë thù xâm lßþc	Thái H°, Tung S½n, Kính H°, Vô Lßþng S½n, Kiªm Các, Ðôn Hoàng		
46	1	0-1315		0	0	Bäo Sß½ng Tranh ÐoÕt	Ð¸nh ði¬m · Thánh Thú S½n tÕo m¾i		
47	1	0-1330		0	0	Tiêu di®t BÕch Minh Kh·i	Tiêu di®t BÕch Minh Kh·i · Thäo Nguyên và 9 tên Minh Hß Nô		
48	1	0-1400	0-1640	0	0	Dã Trß bÕo loÕn	Thánh Thú S½n		
49	1	0-1445		0	0	CÕnh KÖ Trß¶ng bäo sß½ng	Ngß¶i tiªp dçn CÕnh KÛ Trß¶ng cüa các thành		
50	1	0-1500	0-1600	0	0	Kë thù xâm lßþc	Thái H°, Tung S½n, Kính H°, Vô Lßþng S½n, Kiªm Các, Ðôn Hoàng		
51	1	0-1530		0	0	Tiêu di®t Thiên Niên Bång Phách	Tiêu di®t Thiên Niên Bång Phách · Võ Di S½n và 9 tên Bång Yêu		
52	1	0-1545	0-1930	0	0	Trân thú Long Quy	Thánh Thú S½n Long Quy (172, 34)		
53	1	0-1600	0-1630	0	0	Ðánh lén môn phái	Xu¤t hi®n ngçu nhiên · mß¶i ðÕi môn phái		
54	1	0-1645		0	0	CÕnh KÖ Trß¶ng bäo sß½ng	Ngß¶i tiªp dçn CÕnh KÛ Trß¶ng cüa các thành		
55	1	0-1700	0-1800	0	0	Kë thù xâm lßþc	Thái H°, Tung S½n, Kính H°, Vô Lßþng S½n, Kiªm Các, Ðôn Hoàng		
56	1	0-1730	0-2030	0	0	Khoa CØ s½ thÑc	Quan chü khäo ÐÕi Lý		
57	1	0-2100	0-2130	0	0	Khoa CØ phúc thÑc	Quan chü khäo ÐÕi Lý		
58	1	0-1800		0	0	Tiêu di®t Huy«n Kích Kim Cang	Tiêu di®t Huy«n Kích Kim Cang · Thß½ng S½n và 9 tên Huy«n Kích Th¥n Tß¾ng		
59	1	0-1815		0	0	Bäo Sß½ng Tranh ÐoÕt	Ð¸nh ði¬m · Thánh Thú S½n tÕo m¾i		
60	1	0-1830	0-2200	0	0	Tiên thäo tranh ðoÕt	Kính H°		
61	1	0-1830		0	0	Tiêu di®t BÕch Minh Kh·i	Tiêu di®t BÕch Minh Kh·i · Thäo Nguyên và 9 tên Minh Hß Nô		
62	1	0-1845		0	0	CÕnh KÖ Trß¶ng bäo sß½ng	Ngß¶i tiªp dçn CÕnh KÛ Trß¶ng cüa các thành		
63	1	0-1900	0-2000	0	0	Kë thù xâm lßþc	Thái H°, Tung S½n, Kính H°, Vô Lßþng S½n, Kiªm Các, Ðôn Hoàng		
64	1	0-1930	0-2300	0	0	Trân thú Long Quy	Thánh Thú S½n Long Quy (172, 34)		
65	1	0-1930		0	0	Tiêu di®t Mãng C± Ðµc Cáp Vß½ng	Tiêu di®t Mãng C± Ðµc Cáp Vß½ng · Huy«n Vû Ðäo và 9 tên Mãng C± Ðµc Cáp		
66	1	0-1945		0	0	Tiêu di®t Thiên Niên Bång Phách	Tiêu di®t Thiên Niên Bång Phách · Võ Di S½n và 9 tên Bång Yêu		
67	1	0-2000	0-2030	0	0	Ðánh lén môn phái	Xu¤t hi®n ngçu nhiên · mß¶i ðÕi môn phái		
68	1	0-2030	0-2200	0	0	KÏ cuµc	Tô Châu Trß½ng D¸ch Qu¯c, LÕc Dß½ng Vß½ng Tích Tân, ÐÕi Lý Lßu Tr÷ng Phü		
69	1	0-2045		0	0	CÕnh KÖ Trß¶ng bäo sß½ng	Ngß¶i tiªp dçn CÕnh KÛ Trß¶ng cüa các thành		
70	1	0-2100	0-2200	0	0	Kë thù xâm lßþc	Thái H°, Tung S½n, Kính H°, Vô Lßþng S½n, Kiªm Các, Ðôn Hoàng		
71	1	0-2130		0	0	Tiêu di®t Mãng C± Ðµc Cáp Vß½ng	Tiêu di®t Mãng C± Ðµc Cáp Vß½ng · Huy«n Vû Ðäo và 9 tên Mãng C± Ðµc Cáp		
72	1	0-2130	0-2359	0	0	Dã Trß bÕo loÕn	Thánh Thú S½n		
73	1	0-2200	0-2230	0	0	Ðánh lén môn phái	Xu¤t hi®n ngçu nhiên · mß¶i ðÕi môn phái		
74	1	0-2230		0	0	Tiêu di®t BÕch Minh Kh·i	Tiêu di®t BÕch Minh Kh·i · Thäo Nguyên và 9 tên Minh Hß Nô		
75	1	0-2245		0	0	CÕnh KÖ Trß¶ng bäo sß½ng	Ngß¶i tiªp dçn CÕnh KÛ Trß¶ng cüa các thành		
76	1	0-2300	0-2359	0	0	Trân thú Long Quy	Thánh Thú S½n Long Quy (172, 34)		
77	1	0-2330		0	0	Bäo Sß½ng Tranh ÐoÕt	Ð¸nh ði¬m · Thánh Thú S½n tÕo m¾i		
