INT	INT	STRING	STRING	STRING	INT	INT	INT	STRING	INT
ID	RaceID	ModelFile	ShowName$1$	MaterialName	ÏûºÄÎïÆ·ID	ÏûºÄÎïÆ·ÊýÁ¿	ÊÇ·ñÔÚ³õÊ¼Ê±¿ÉÑ¡(0±íÊ¾ÓÎÏ·ÖÐ£¬³õÊ¼Ê±¶¼²»¿ÉÑ¡£¬1±íÊ¾Ö»ÓÐ³õÊ¼Ê±¿ÉÑ¡£¬2±íÊ¾Ö»ÓÐÔÚÓÎÏ·ÖÐ¿ÉÑ¡£¬3±íÊ¾ÓÎÏ·ÖÐ£¬³õÊ¼Ê±¶¼¿ÉÑ¡)	Í·ÏñµÄÍ¼±ê	ÏûºÄ½ðÇ®
1	0	Å®Ö÷½ÇÁ³01.mesh	Xinh ð©p	Å®Ö÷½ÇÁ³01	30008020	1	3	Cloth8_8	50000
2	0	Å®Ö÷½ÇÁ³02.mesh	Trí tu®	Å®Ö÷½ÇÁ³02	30008020	1	3	Cloth8_8	50000
3	0	Å®Ö÷½ÇÁ³03.mesh	Vui vë	Å®Ö÷½ÇÁ³03	30008020	1	3	Cloth8_8	50000
4	0	Å®Ö÷½ÇÁ³04.mesh	Cao quý	Å®Ö÷½ÇÁ³04	30008020	1	3	Cloth8_8	50000
5	0	Å®Ö÷½ÇÁ³05.mesh	Thøc næ	Å®Ö÷½ÇÁ³05	30008020	1	3	Cloth8_8	50000
6	0	Å®Ö÷½ÇÁ³06.mesh	Mê Ho£c Hình	Å®Ö÷½ÇÁ³06	30008020	1	2	Cloth8_8	50000
7	0	Å®Ö÷½ÇÁ³07.mesh	Di®n Ph±	Å®Ö÷½ÇÁ³07	30008020	1	0	Cloth8_8	50000
8	0	Å®Ö÷½ÇÁ³08.mesh	Thß½ng Tang Hình	Å®Ö÷½ÇÁ³08	30008020	1	2	Cloth8_8	50000
9	0	Å®Ö÷½ÇÁ³09.mesh	Mông Lung Hình	Å®Ö÷½ÇÁ³09	30008020	1	2	Cloth8_8	50000
10	0	Å®Ö÷½ÇÁ³10.mesh	Cu°ng Dã Hình	Å®Ö÷½ÇÁ³10	30008020	1	0	Cloth8_8	50000
11	0	Å®Ö÷½ÇÁ³11.mesh	Th¸ NgÕo Hình	Å®Ö÷½ÇÁ³11	30008020	1	2	Cloth8_8	50000
12	0	Å®Ö÷½ÇÁ³16.mesh	Thâm Thúy Hình	Å®Ö÷½ÇÁ³16	30008020	1	2	Cloth8_8	50000
13	0	Å®Ö÷½ÇÁ³12.mesh	Linh MÜ Hình	Å®Ö÷½ÇÁ³12	30008020	1	2	Cloth8_8	50000
14	0	Å®Ö÷½ÇÁ³20.mesh	Thanh Nhã Hình	Å®Ö÷½ÇÁ³20	30008020	1	1	Cloth8_8	50000
15	0	Å®Ö÷½ÇÁ³25.mesh	Phong Tr¥n Hình	Å®Ö÷½ÇÁ³25	30008020	1	2	Cloth8_8	50000
16	0	Å®Ö÷½ÇÁ³29.mesh	Khuynh Vân Hình	Å®Ö÷½ÇÁ³29	30008020	1	0	Cloth8_8	50000
17	0	Å®Ö÷½ÇÁ³30.mesh	Hình linh ðµng	Å®Ö÷½ÇÁ³30	30008020	1	0	Cloth8_8	50000
18	0	Å®Ö÷½ÇÁ³32.mesh	Ki¬u Lông Mày	Å®Ö÷½ÇÁ³32	30008020	1	0	Cloth8_8	50000
19	0	Å®Ö÷½ÇÁ³¸ß¹ó120312_1.mesh	Phong D§t Hình	Å®Ö÷½ÇÁ³¸ß¹ó120312_1	30008020	1	2	Cloth8_8	50000
20	0	Å®Ö÷½ÇÁ³35.mesh	Kiêu Sa	Å®Ö÷½ÇÁ³35	30008020	1	2	Cloth8_8	50000
21	0	Å®Ö÷½ÇÁ³40.mesh	C± Ði¬n	Å®Ö÷½ÇÁ³40	30008020	1	2	Cloth8_8	50000
22	0	Å®Ö÷½ÇÁ³43.mesh	Quyªn Rû	Å®Ö÷½ÇÁ³43	30008020	1	2	Cloth8_8	50000
23	0	Å®Ö÷½ÇÁ³44.mesh	Mi Änh Hình	Å®Ö÷½ÇÁ³44	30008020	1	2	Cloth8_8	50000
