INT	INT	STRING	STRING	INT	INT	INT	STRING
ID	ÀàĞÍ(²ß»®·ÖÀàÓÃ)	Ãû³Æ$1$	ÃèÊö$1$	Âß¼­ÀàĞÍ(³ÌĞòÓÃ)	µÈ¼¶	Ê±¼ä	×¢ÊÍ
0	1	Chiªm døng h® th¯ng	Cài ğ£t hi®u xßng ğÆng c¤p là 0, có nghîa là loÕi hi®u xßng ğÆng c¤p	1	1	-1	Không
1	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
2	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
3	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
4	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
5	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
6	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
7	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
8	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
9	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
10	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
11	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
12	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
13	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
14	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
15	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
16	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
17	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
18	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
19	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
20	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
21	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
22	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
23	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
24	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
25	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
26	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
27	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
28	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
29	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
30	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
31	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
32	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
33	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
34	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
35	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
36	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
37	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
38	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
39	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
40	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
41	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
42	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
43	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
44	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
45	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
46	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
47	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
48	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
49	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
50	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
51	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
52	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
53	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
54	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
55	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
56	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
57	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
58	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
59	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
60	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
61	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
62	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
63	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
64	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
65	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
66	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
67	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
68	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
69	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
70	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
71	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
72	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
73	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
74	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
75	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
76	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
77	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
78	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
79	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
80	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
81	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
82	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
83	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
84	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
85	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
86	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
87	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
88	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
89	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
90	1	Ğã vÑt bö	Ğã vÑt bö	0	0	-1	
91	2	$N Phu quân	TÕi thiên nguy®n tác tï dñc ği¬u, tÕi ğ¸a nguy®n tác liên lı chi	2	1	-1	Kªt bái phu thê
92	2	$N Nß½ng tØ	TÕi thiên nguy®n tác tï dñc ği¬u, tÕi ğ¸a nguy®n tác liên lı chi	2	1	-1	Kªt bái phu thê
93	3	Chiêu Võ Hi®u Úy	Binh sÛ s½ c¤p, m¾i l§p công ğ¥u, c¥n c¯ g¡ng thêm	3	1	-1	Không
94	3	Chiêu Võ Hi®u Úy	Binh sÛ s½ c¤p, m¾i l§p công ğ¥u, c¥n c¯ g¡ng thêm	3	2	-1	Không
95	3	Ch¤n Uy Trung Lang Tß¾ng	Tß¾ng lînh s½ c¤p, l§p công m¤y l¥n, tiªp tøc nghiêm túc	3	3	-1	Không
96	3	Phiêu KÜ Tß¾ng Quân	Tß¾ng lînh trung c¤p, l§p nhi«u công l¾n, tiªp tøc nghiêm túc	3	4	-1	Không
97	3	Th¥n Võ ĞÕi Tß¾ng Quân	Th¥n võ tß¾ng quân, anh minh th¥n võ, uy ch¤n vû trø	3	5	-1	Không
98	4	Hµ Ğàn Ğ°ng TØ	Th¥y pháp tr× ma s½ c¤p, m¾i l§p công ğ¥u, c¥n c¯ g¡ng thêm	4	1	-1	Không
99	4	Løc Ğ¸a Phi Tiên	Th¥y pháp tr× ma trung c¤p, l§p công m¤y l¥n, tiªp tøc nghiêm túc	4	2	-1	Không
100	4	Hàng Ma Thßşng Tiên	Th¥y pháp tr× ma cao c¤p, l§p nhi«u công l¾n, tiªp tøc nghiêm túc	4	3	-1	Không
101	4	Thiên Canh Chân Nhân	Cñc ph¦m tr× ma pháp sß, hàng ma phøc yêu, tr× ma v® ğÕo	4	4	-1	Không
102	5	Hoàng Báo Tiêu V®	Tiêu sß s½ c¤p, m¾i l§p công ğ¥u, c¥n c¯ g¡ng thêm	5	1	-1	Không
103	5	Xích H± Tiêu Sß	Tiêu sß trung c¤p, l§p công m¤y l¥n, tiªp tøc nghiêm túc	5	2	-1	Không
104	5	H¡c Phøng Tiêu Ğ¥u	Tiêu sß cao c¤p, l§p nhi«u công l¾n, tiªp tøc nghiêm túc	5	3	-1	Không
105	5	BÕch Long T±ng Tiêu Ğ¥u	Cñc ph¦m tiêu sß, v§n tiêu h½n ngß¶i, hình mçu cüa gi¾i kinh doanh	5	4	-1	Không
106	6	TrÕng Nguyên	H÷c thÑc uyên bác, tài ngh® siêu qu¥n, thiên hÕ vô song!	6	3	-1	Không
107	6	Bäng Nhãn	H÷c thÑc h½n ngß¶i, tài ngh® xu¤t chúng, thiên hÕ ğ® nh¸!	6	2	-1	Không
108	6	Thám Hoa	H÷c thÑc h½n ngß¶i, tài ngh® xu¤t chúng, thiên hÕ ğ® tam!	6	1	-1	Không
109	7	MÛ Thñc ĞÕi Vß½ng	Trù ngh® cao siêu, quán tuy®t thiên hÕ	7	1	-1	Không
110	7	Di®u Thü H°i Xuân	H°i xuân di®u thü, Hoa Ğà tái thª	7	1	-1	Không
111	7	Chuyên Gia Bäo ThÕch	Cñc ph¦m Bäo ThÕch, phäi thuµc v« ta!	7	1	-1	Không
112	7	ĞÕi Sß Ğúc Kiªm	Ğúc kiªm ğÕi sß, thiên tß¾ng tái sinh!	7	1	-1	Không
113	7	Tay May Áo Thi®n Ngh®	Khéo tay may áo, ğß½ng kim Hoàng ĞÕo Bà!	7	1	-1	Không
114	7	B§c Th¥y Khéo Tay	Khéo tay nhß th¥n, L² Ban tái sinh!	7	1	-1	Không
115	7	Tài TØ Vô Song	Vån tài xu¤t chúng, phong ğµ h½n ngß¶i!	7	1	-1	Không
116	7	Chuyên Gia Hái Thu¯c	Th¥n Nông tái thª, nªm tråm cö cây!	7	1	-1	Không
117	7	Chuyên Gia Khai Khoáng	Chuyên gia khai khoáng, ği¬n hình cüa ngành khai khoáng!	7	1	-1	Không
118	7	Oát Bäo ĞÕi Sß	Ğµc cø tu® nhãn, ngß¶i t±ng kªt bäo tàng!	7	1	-1	Không
119	7	Thiên Sß Truy«n Nhân	Thiên Sß truy«n nhân, m¾i là danh nhân!	7	1	-1	Không
120	7	Cao Thü Câu Cá	Thái Công câu cá, mu¯n ngß¶i m¡c câu	7	1	-1	Không
121	7	Thß½ng Nghi®p Cß Ğ¥u	Thü lînh thß½ng nhân, giàu có mµt phß½ng	7	1	-1	Không
122	7	Võ Lâm Ğ® N ĞÕi Bang	Môn phái cüa các hÕ là ğÕi bang thÑ N cüa Võ Lâm	7	1	-1	Không
123	7	Phu Thê Ki¬u Mçu	Hªt mñc yêu thß½ng, ği¬n hình phu thê!	7	1	-1	Không
124	8	Tào v§n Doanh	Thß½ng nhân v§n chuy¬n s½ c¤p, m¾i bß¾c vào ngh«, tiªp tøc c¯ g¡ng	6	1	-1	Tào V§n 1 l¥n
125	8	Tào v§n T¦u T¯t	Thß½ng nhân v§n chuy¬n c¤p 2, m¾i quen tay v¾i ngh« v§n chuy¬n, tiªp tøc c¯ g¡ng	6	2	-1	Tào V§n 100 l¥n
126	8	Tào v§n Áp Giäi Quan	Thß½ng nhân v§n chuy¬n c¤p 3, có tài nång trong ngh« v§n chuy¬n, tiªp tøc nghiêm túc	6	3	-1	Tào V§n 1000 l¥n
127	8	Tào v§n Th¯ng Lînh	Thß½ng nhân v§n chuy¬n c¤p 4, cao thü trong ngh« v§n chuy¬n, tiªp tøc nghiêm túc	6	4	-1	Tào V§n 3000 l¥n
128	8	Tào v§n Ği«u Ğµ Phó SÑ	Thß½ng nhân v§n chuy¬n c¤p 5, ngß¶i có tiªng trong ngh« v§n chuy¬n, tiªp tøc nghiêm túc	6	5	-1	Tào V§n 7500 l¥n
129	8	Tào v§n Ği«u Ğµ SÑ	Thß½ng nhân v§n chuy¬n c¤p 6, ngß¶i có quy«n uy trong ngh« v§n chuy¬n, ği¬n hình cüa gi¾i kinh doanh	6	6	-1	Tào V§n 20000 l¥n
130	8	Tào v§n T±ng Ğ¬ Ği«u	Thß½ng nhân v§n chuy¬n c¤p 7, là th¥n thoÕi trong ngh« v§n chuy¬n, b¤t hü truy«n kÏ	6	7	-1	Tào V§n 50000 l¥n
