INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT
index	class	quality	type	Medindex	×ÊÔ´	name$1$	ËµÃ÷ÎÄ×Ö$1$	µÈ¼¶	»ù±¾¼Û¸ñ	³öÊÛ¼Û¸ñ	ÊÊÓ¦¹æÔò	µþ·ÅÊýÁ¿	½Å±¾±àºÅ	¼¼ÄÜ±àºÅ	ÊÇ·ñÏûºÄ	ÐèÇó¼¼ÄÜ	ÐèÇó¼¼ÄÜµÈ¼¶	×î´ó³ÖÓÐÊýÁ¿	Ñ¡Ôñ¶ÔÏóÀàÐÍ	ÀàÐÍÃèÊö$1$	µµ´ÎµÈ¼¶	Åä·½id	ÑÕÉ«	SubClass	ÊÇ·ñ¹ã²¥
20005020	2	0	5	20	OtherTools2_14	V§t Ph¦m Chßa Ðßþc Biªt	V§t ph¦m chßa ðßþc biªt	1	10	2	4	20	-1	-1	1	8	1	-1	-1	V§t Ph¦m Chßa Ðßþc Biªt	1	0	2000	-1	0
20101000	2	1	1	0	XinFa1_7	Bäo Tàng Ð° (VÑt Bö)	Bäo tàng ð°	1	0	0	4	1	-1	-1	1	8	1	-1	-1	Ngân Phiªu	1	0	2000	-1	0
20101001	2	1	1	1	Herbal1_1	BÕch Anh	V¸ ð¡ng, cay, tính hàn. Có tác døng thanh nhi®t, giäi ðµc. Có th¬ dùng làm thu¯c.#r#WÐªn ch² #RPhó ðß¶ng Quy #GÐÕi Lý (99,128)#W, #RTrß½ng Minh Cänh #GLÕc Dß½ng (136,165)#W, #RLan Tß LÕc Ð£c #GLâu Lan (30,186)#W, #RTß·ng Minh Hiên #GThúc Hà C± Tr¤n (189,146)#W ð¬ h÷c #GkÛ nång Chª Dßþc#W. Ngß¶i ch½i ðÕt ðªn c¤p #G30#W thì có th¬ h÷c ðßþc.	1	375	10	4	40	-1	-1	1	8	1	-1	-1	S½ Cáp Dßþc Tài	1	0	2000	-1	0
20101002	2	1	1	2	Herbal1_2	B° Hoàng	V¸ ng÷t d¸u, có tác døng c¥m máu, hoÕt huyªt. Có th¬ dùng làm thu¯c.#r#WÐªn ch² #RPhó ðß¶ng Quy #GÐÕi Lý (99,128)#W, #RTrß½ng Minh Cänh #GLÕc Dß½ng (136,165)#W, #RLan Tß LÕc Ð£c #GLâu Lan (30,186)#W, #RTß·ng Minh Hiên #GThúc Hà C± Tr¤n (189,146)#W ð¬ h÷c #GkÛ nång Chª Dßþc#W. Ngß¶i ch½i ðÕt ðªn c¤p #G30#W thì có th¬ h÷c ðßþc.	1	625	10	4	40	-1	-1	1	8	1	-1	-1	S½ Cáp Dßþc Tài	1	0	2000	-1	0
20101003	2	1	1	3	Herbal2_2	Xuyên B¯i	V¸ ng÷t, có tác døng c¥m ho, làm d¸u gan, lßu thông khí huyªt. Có th¬ dùng làm thu¯c.#r#WÐªn ch² #RPhó ðß¶ng Quy #GÐÕi Lý (99,128)#W, #RTrß½ng Minh Cänh #GLÕc Dß½ng (136,165)#W, #RLan Tß LÕc Ð£c #GLâu Lan (30,186)#W, #RTß·ng Minh Hiên #GThúc Hà C± Tr¤n (189,146)#W ð¬ h÷c #GkÛ nång Chª Dßþc#W. Ngß¶i ch½i ðÕt ðªn c¤p #G30#W thì có th¬ h÷c ðßþc.	2	625	20	4	40	-1	-1	1	8	2	-1	-1	S½ Cáp Dßþc Tài	2	0	2000	-1	0
20101004	2	1	1	4	Herbal1_6	Nguyên H°	Thân dùng làm thu¯c, có tác døng lßu thông khí huyªt, giäm ðau. Có th¬ dùng làm thu¯c.#r#WÐªn ch² #RPhó ðß¶ng Quy #GÐÕi Lý (99,128)#W, #RTrß½ng Minh Cänh #GLÕc Dß½ng (136,165)#W, #RLan Tß LÕc Ð£c #GLâu Lan (30,186)#W, #RTß·ng Minh Hiên #GThúc Hà C± Tr¤n (189,146)#W ð¬ h÷c #GkÛ nång Chª Dßþc#W. Ngß¶i ch½i ðÕt ðªn c¤p #G30#W thì có th¬ h÷c ðßþc.	2	875	20	4	40	-1	-1	1	8	2	-1	-1	S½ Cáp Dßþc Tài	2	0	2000	-1	0
20101005	2	1	1	5	Herbal1_8	TÏ Bà	Lá dùng làm thu¯c, tính bình, v¸ ð¡ng, có tác døng thanh phª hÕ khí, tr¸ ho, nôn mØa. Có th¬ dùng làm thu¯c.#r#WÐªn ch² #RPhó ðß¶ng Quy #GÐÕi Lý (99,128)#W, #RTrß½ng Minh Cänh #GLÕc Dß½ng (136,165)#W, #RLan Tß LÕc Ð£c #GLâu Lan (30,186)#W, #RTß·ng Minh Hiên #GThúc Hà C± Tr¤n (189,146)#W ð¬ h÷c #GkÛ nång Chª Dßþc#W. Ngß¶i ch½i ðÕt ðªn c¤p #G30#W thì có th¬ h÷c ðßþc.	3	875	30	4	40	-1	-1	1	8	3	-1	-1	S½ Cáp Dßþc Tài	3	0	2000	-1	0
20101006	2	1	1	6	Herbal2_4	Cam Thäo	Tính bình, v¸ ng÷t, có tác døng giäi ðµc, giäm sßng, giäm ðau. Có th¬ dùng làm thu¯c.#r#WÐªn ch² #RPhó ðß¶ng Quy #GÐÕi Lý (99,128)#W, #RTrß½ng Minh Cänh #GLÕc Dß½ng (136,165)#W, #RLan Tß LÕc Ð£c #GLâu Lan (30,186)#W, #RTß·ng Minh Hiên #GThúc Hà C± Tr¤n (189,146)#W ð¬ h÷c #GkÛ nång Chª Dßþc#W. Ngß¶i ch½i ðÕt ðªn c¤p #G30#W thì có th¬ h÷c ðßþc.	3	875	30	4	40	-1	-1	1	8	3	-1	-1	S½ Cáp Dßþc Tài	3	0	2000	-1	0
20101007	2	1	1	7	Herbal1_10	Kim Ngân Hoa	V¸ ng÷t, hàn, có tác døng thanh nhi®t giäi ðµc. Có th¬ dùng làm thu¯c.#r#WÐªn ch² #RPhó ðß¶ng Quy #GÐÕi Lý (99,128)#W, #RTrß½ng Minh Cänh #GLÕc Dß½ng (136,165)#W, #RLan Tß LÕc Ð£c #GLâu Lan (30,186)#W, #RTß·ng Minh Hiên #GThúc Hà C± Tr¤n (189,146)#W ð¬ h÷c #GkÛ nång Chª Dßþc#W. Ngß¶i ch½i ðÕt ðªn c¤p #G30#W thì có th¬ h÷c ðßþc.	3	1125	30	4	40	-1	-1	1	8	3	-1	-1	S½ Cáp Dßþc Tài	3	0	2000	-1	0
