INT	INT
Level	Exp	
1	10	
2	12	
3	14	
4	18	
5	20	
6	22	
7	24	
8	28	
9	30	
10	40	
11	44	
12	46	
13	50	
14	56	
15	60	
16	66	
17	72	
18	80	
19	88	
20	98	
21	110	
22	122	
23	136	
24	152	
25	172	
26	194	
27	218	
28	246	
29	274	
30	314	
31	358	
32	404	
33	454	
34	508	
35	564	
36	624	
37	690	
38	758	
39	830	
40	906	
41	988	
42	1076	
43	1170	
44	1268	
45	1372	
46	1482	
47	1598	
48	1720	
49	1848	
50	1982	
51	2124	
52	2274	
53	2428	
54	2592	
55	2762	
56	2938	
57	3124	
58	3316	
59	3518	
60	3728	
61	3944	
62	4170	
63	4404	
64	4648	
65	4900	
66	5172	
67	5476	
68	5814	
69	6182	
70	6588	
71	7028	
72	7504	
73	8018	
74	8572	
75	9194	
76	9886	
77	10652	
78	11492	
79	12408	
80	13646	
81	15522	
82	18368	
83	22528	
84	28362	
85	36246	
86	46568	
87	59730	
88	76152	
89	96264	
90	120514	
91	149360	
92	183282	
93	222764	
94	268314	
95	320450	
96	379702	
97	446620	
98	521764	
99	605712	
100	615336	
101	625222	
102	635374	
103	645798	
104	656500	
105	667484	
106	678756	
107	690320	
108	702184	
109	714352	
110	726830	
111	739622	
112	752736	
113	766174	
114	779944	
115	794052	
116	808500	
117	823296	
118	838446	
119	853952	
120	869824	
121	886062	
122	902676	
123	919670	
124	937050	
125	954820	
126	972986	
127	991552	
128	1010526	
129	1029912	
130	1049716	
131	1069942	
132	1090598	
133	1111686	
134	1133214	
135	1155188	
136	1177610	
137	1200488	
138	1223828	
139	1247632	
140	1271910	
141	1296662	
142	1321900	
143	1347622	
144	1373840	
145	1448886	
146	1533454	
147	1628260	
148	1734038	
149	1851530	
150	1900000
151	1900000
152	1900000
153	1900000
154	1900000
155	1900000
156	1900000
157	1900000
158	1900000
159	1900000
160	1900000
161	1900000
162	1900000
163	1900000
164	1900000
165	1900000
166	1900000
167	1900000
168	1900000
169	1900000
170	1900000
171	1900000
172	1900000
173	1900000
174	1900000
175	1900000
176	1900000
177	1900000
178	1900000
179	1900000
180	1900000
181	1900000
182	1900000
183	1900000
184	1900000
185	1900000
186	1900000
187	1900000
188	1900000
189	1900000
190	1900000
191	1900000
192	1900000
193	1900000
194	1900000
195	1900000
196	1900000
197	1900000
198	1900000
199	1900000
200	1900000
201	1900000
202	1900000
203	1900000
204	1900000
205	1900000
206	1900000
207	1900000
208	1900000
209	1900000
210	1900000
211	1900000
212	1900000
213	1900000
214	1900000
215	1900000
216	1900000
217	1900000
218	1900000
219	1900000
220	1900000
221	1900000
222	1900000
223	1900000
224	1900000
225	1900000
226	1900000
227	1900000
228	1900000
229	1900000
230	1900000
231	1900000
232	1900000
233	1900000
234	1900000
235	1900000
236	1900000
237	1900000
238	1900000
239	1900000
240	1900000
241	1900000
242	1900000
243	1900000
244	1900000
245	1900000
246	1900000
247	1900000
248	1900000
249	1900000
250	1900000
251	1900000
252	1900000
253	1900000
254	1900000
255	0
