INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
装备外形ID	ID_1	ID_2	ID_3	ID_4	ID_5	ID_6	ID_7	ID_8	ID_9	ID_10	Item_ID
664	664	-1	-1	-1	-1	-1	-1	-1	-1	-1	30900004
665	665	-1	-1	-1	-1	-1	-1	-1	-1	-1	30900004
666	666	-1	-1	-1	-1	-1	-1	-1	-1	-1	30900004
667	667	-1	-1	-1	-1	-1	-1	-1	-1	-1	30900004
668	668	-1	-1	-1	-1	-1	-1	-1	-1	-1	30900004
669	669	-1	-1	-1	-1	-1	-1	-1	-1	-1	30900004
670	670	-1	-1	-1	-1	-1	-1	-1	-1	-1	30900004
671	671	-1	-1	-1	-1	-1	-1	-1	-1	-1	30900004
672	672	-1	-1	-1	-1	-1	-1	-1	-1	-1	30900004
673	673	-1	-1	-1	-1	-1	-1	-1	-1	-1	30900004
674	674	-1	-1	-1	-1	-1	-1	-1	-1	-1	30900004
675	675	-1	-1	-1	-1	-1	-1	-1	-1	-1	30900004
676	676	-1	-1	-1	-1	-1	-1	-1	-1	-1	30900004
677	677	-1	-1	-1	-1	-1	-1	-1	-1	-1	30900004
678	678	-1	-1	-1	-1	-1	-1	-1	-1	-1	30900004
679	679	-1	-1	-1	-1	-1	-1	-1	-1	-1	30900004
680	680	-1	-1	-1	-1	-1	-1	-1	-1	-1	30900004
681	681	-1	-1	-1	-1	-1	-1	-1	-1	-1	30900004
682	682	-1	-1	-1	-1	-1	-1	-1	-1	-1	30900004
683	683	-1	-1	-1	-1	-1	-1	-1	-1	-1	30900004
684	684	-1	-1	-1	-1	-1	-1	-1	-1	-1	30900004
685	685	-1	-1	-1	-1	-1	-1	-1	-1	-1	30900004
686	686	-1	-1	-1	-1	-1	-1	-1	-1	-1	30900004
687	687	-1	-1	-1	-1	-1	-1	-1	-1	-1	30900004
688	688	-1	-1	-1	-1	-1	-1	-1	-1	-1	30900004
689	689	-1	-1	-1	-1	-1	-1	-1	-1	-1	30900004
690	690	-1	-1	-1	-1	-1	-1	-1	-1	-1	30900004
709	709	-1	-1	-1	-1	-1	-1	-1	-1	-1	30900004
