INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	STRING	STRING
ID	分类 ID（互斥用）	PRI优先级	图标文件名	触发特效ID	触发特效的音效ID	触发特效的绑定点	持续性特效ID	持续特效的音效ID	持续性特效的绑定点	死后是否保留	是否可以被技能驱散	是否是负面效果	是否可以被手动取消	是否为线性特效	线性特效的绑定点	效果说明$1$
1	1	0	Buff0_1				g01_buff2		身体受击点	0	1	1	0	0		撕裂：持續掉血
2	2	0	Buff0_2				npc_buff_19		身体受击点	0	1	1	0	0		中毒：持續掉血
3	3	0	Buff0_3				g01_buff32		身体受击点	0	1	1	0	0		詛咒：持續掉血
4	4	0	Buff0_4				g01_buff106		身体受击点	0	1	1	0	0		灼燒：持續掉血
5	5	0	Buff0_6				g01_buff46_01		身体受击点	0	1	1	0	0		噬血：持續掉血
6	6	0	Buff0_5				npc_buff_19		身体受击点	0	1	1	0	0		腐蝕：持續掉血
7	7	0	Buff0_5							0	0	1	0	1	身体受击点	洩氣：持續減氣
8	8	0	Buff0_6							0	0	1	0	1	身体受击点	安撫：持續減怒
9	9	0	Medicine2_5							0	0	0	1	0		回血：持續回血
10	10	0	Medicine2_6							0	0	0	1	0		回氣：持續回氣
11	11	0	Buff0_7		Skills\Common\rock_huge_1.wav		g01_buff12		脚下光圈点	0	1	1	0	0		圍困：移動不能，操作不能，不可被攻擊
12	12	0	Buff0_8							0	1	1	0	0		石化：移動不能，操作不能，不可被攻擊
13	13	0	Buff0_9	all_bj0000		身体受击点	buff_fengxue_01		身体受击点	0	1	1	0	0		封穴：移動不能，操作不能，可被攻擊，無法被打醒
14	14	0	Buff0_10				npc_buff_02		头顶状态点	0	1	1	0	0		麻痹：移動不能，操作不能，可被攻擊，無法被打醒
15	15	0	Buff0_11				buff_hunmi_01		头顶状态点	0	1	1	0	0		昏睡：移動不能，操作不能，可被攻擊，可被打醒
16	16	0	Buff0_12				g01_buff38		头顶状态点	0	1	1	0	0		失魂：移動不能，操作不能，可被攻擊，可被打醒
17	17	0	Buff0_13				g01_em_buff38		头顶状态点	0	1	1	0	0		失明：隨機移動，操作不能，可被攻擊，無法被打醒
18	18	0	Buff0_14		Skills\Common\fear_1.wav		npc_buff_07		头顶状态点	0	1	1	0	0		恐懼：隨機移動，操作不能，可被攻擊，無法被打醒
19	19	0	Buff0_15		Skills\Sl\Sl_金刚伏魔圈_定身.wav		g01_buff27		脚下光圈点	0	1	1	0	0		定身：定身狀態下可以攻擊，但無法移動
20	20	0	Buff0_15				npc_buff_09		脚下光圈点	0	1	1	0	0		纏繞：無法移動
21	21	0	Buff0_16				buff_sangong_01		脚下光圈点	0	1	1	0	0		散功：無法使用任何門派技能
22	22	0	Buff0_16				g01_buff34		头顶状态点	0	1	1	0	0		就擒：無法使用任何門派技能
23	23	0	Buff1_1	g01_yanggetianjun		身体受击点	g01_buff100		脚下光圈点	0	1	1	0	0		僵硬：移動速度減慢
24	24	0	Buff1_2							0	1	1	0	0		破綻：降低攻擊
25	25	0	Buff1_3							0	1	1	0	0		破綻：降低防禦
26	26	0	Buff1_4							0	1	1	0	0		破綻：降低攻擊和防禦
27	27	0	Buff1_4							0	1	1	0	0		破綻：降低所有抗性
28	28	0	Buff1_4	g01_geanguanhuo		身体受击点				0	1	1	0	0		破綻：降低外功防禦
29	29	0	Buff1_4							0	1	1	0	0		破綻：降低內功防禦
30	30	0	Buff1_4							0	1	1	0	0		破綻：所受傷害放大
31	31	0	Buff1_4							0	1	1	0	0		破綻：減少發功持續時間
32	32	0	Buff1_5							0	1	1	0	0		虛弱：降低血、氣上限
33	33	0	Buff1_5							0	1	1	0	0		虛弱：降低身法
34	34	0	Buff1_5							0	1	1	0	0		虛弱：降低力量、靈氣
35	35	0	Buff1_5							0	1	1	0	0		虛弱：降低體力、定力
36	36	0	Buff1_5							0	1	1	0	0		虛弱：所受傷害放大
37	37	0	Buff1_5							0	1	1	0	0		虛弱：降低攻擊
38	38	0	Buff1_6							0	1	1	0	0		僵硬：降低命中
