INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
Index	 tång gia hp ðích thßþng hÕn 	 bách phân bï tång gia hp ðích thßþng hÕn 	 gia khoái hp ðích h°i phøc t¯c ðµ 	 tång gia mp ðích thßþng hÕn 	 bách phân bï tång gia mp ðích thßþng hÕn 	 gia khoái mp ðích h°i phøc t¯c ðµ 	 bång công kích 	 bång ð¬ kháng 	 giäm thi¬u bång ð¯ng trì hoãn thì gian 	 höa công kích 	 höa ð¬ kháng 	 giäm thi¬u höa thiêu trì tøc thì gian 	 huy«n công kích 	 huy«n ð¬ kháng 	 giäm thi¬u ði®n kích huy­n vñng thì gian 	 ðµc công kích 	 ðµc ð¬ kháng 	 giäm thi¬u trung ðµc thì gian 	 án bách phân bï ð¬ tiêu s· hæu chúc tính công kích 	 v§t lí công kích 	 án bách phân bï tång gia v§t lí công kích 	 ð¯i trang b¸ c½ s· v§t lí công kích bách phân bï gia thành 	 v§t lí phòng ngñ 	 án bách phân bï tång gia v§t lí phòng ngñ 	 ð¯i trang b¸ c½ s· v§t lí phòng ngñ bách phân bï gia thành 	 án bách phân bï ð¬ tiêu v§t lí thß½ng hÕi 	 ma pháp công kích 	 án bách phân bï tång gia ma pháp công kích 	 ð¯i trang b¸ c½ s· ma pháp công kích bách phân bï gia thành 	 ma pháp phòng ngñ 	 án bách phân bï tång gia ma pháp phòng ngñ 	 ð¯i trang b¸ c½ s· ma pháp phòng ngñ bách phân bï gia thành 	 án bách phân bï ð¬ tiêu ma pháp thß½ng hÕi 	 công kích t¯c ðµ [ lßÞng thÑ công kích gian cách thì gian ]	 ma pháp lãnh khß¾c t¯c ðµ 	 m®nh trung 	 thi¬m t¸ 	 hµi tâm nh¤t kích [ song bµi công kích ] ðích bách phân bï 	 vô th¸ ð¯i phß½ng phòng ngñ bï su¤t 	 di ðµng t¯c ðµ bách phân bï 	 thß½ng hÕi phän xÕ 	 thß½ng hÕi do nµi lñc ð¬ tiêu 	 lñc lßþng 	 linh khí 	 th¬ ch¤t 	 ð¸nh lñc 	 thân pháp 	 hµi tâm phòng ngñ 	 tång gia s· hæu ðích nhân v§t nh¤t c¤p chúc tính 	 sinh m®nh thâu thü 	 nµi lñc thâu thü 	 tång gia m² cá kî nång ðÆng c¤p 	 tång gia s· hæu kî nång ðÆng c¤p 	 ð£c thù kî nång phát ðµng khái su¤t 	 hàng ðê møc tiêu bång ð¬ kháng 	 hàng ðê møc tiêu höa ð¬ kháng 	 hàng ðê møc tiêu huy«n ð¬ kháng 	 hàng ðê møc tiêu ðµc ð¬ kháng 	 bäo lßu 1	 bäo lßu 2	 bäo lßu 3	 bäo lßu 4	 bäo lßu 5	 bäo lßu 6
1	591	50	-1	313	50	-1	3	1	-1	3	1	-1	3	1	-1	3	1	-1	1	52	50	50	47	50	50	1	52	50	50	47	50	50	1	-1	-1	42	14	2	-1	-1	-1	-1	7	7	6	6	3	2	1	-1	-1	-1	-1	-1	1	1	1	1	-1	-1	-1	-1	-1	-1
2	711	50	-1	375	50	-1	3	1	-1	3	1	-1	3	1	-1	3	1	-1	1	62	50	50	57	50	50	1	62	50	50	57	50	50	1	-1	-1	54	18	2	-1	-1	-1	-1	8	8	7	7	4	2	2	-1	-1	-1	-1	-1	1	1	1	1	-1	-1	-1	-1	-1	-1
3	832	50	-1	437	50	-1	3	1	-1	3	1	-1	3	1	-1	3	1	-1	1	73	50	50	68	50	50	1	73	50	50	68	50	50	1	-1	-1	66	22	2	-1	-1	-1	-1	9	9	8	8	4	2	2	-1	-1	-1	-1	-1	1	1	1	1	-1	-1	-1	-1	-1	-1
4	952	50	-1	499	50	-1	3	1	-1	3	1	-1	3	1	-1	3	1	-1	1	84	50	50	79	50	50	1	84	50	50	79	50	50	1	-1	-1	78	26	2	-1	-1	-1	-1	10	10	9	9	5	2	2	-1	-1	-1	-1	-1	1	1	1	1	-1	-1	-1	-1	-1	-1
5	1073	50	-1	561	50	-1	4	1	-1	4	1	-1	4	1	-1	4	1	-1	1	94	50	50	89	50	50	1	94	50	50	89	50	50	1	-1	-1	90	30	2	-1	-1	-1	-1	11	11	10	10	5	2	2	-1	-1	-1	-1	-1	1	1	1	1	-1	-1	-1	-1	-1	-1
6	1193	50	-1	623	50	-1	4	1	-1	4	1	-1	4	1	-1	4	1	-1	1	105	50	50	100	50	50	1	105	50	50	100	50	50	1	-1	-1	102	34	2	-1	-1	-1	-1	12	12	11	11	6	2	2	-1	-1	-1	-1	-1	1	1	1	1	-1	-1	-1	-1	-1	-1
7	1314	50	-1	685	50	-1	4	1	-1	4	1	-1	4	1	-1	4	1	-1	1	116	50	50	111	50	50	1	116	50	50	111	50	50	1	-1	-1	114	38	2	-1	-1	-1	-1	13	13	12	12	7	2	3	-1	-1	-1	-1	-1	1	1	1	1	-1	-1	-1	-1	-1	-1
8	1434	50	-1	747	50	-1	4	2	-1	4	2	-1	4	2	-1	4	2	-1	1	126	50	50	121	50	50	2	126	50	50	121	50	50	2	-1	-1	126	42	2	-1	-1	-1	-1	14	14	13	13	7	2	3	-1	-1	-1	-1	-1	2	2	2	2	-1	-1	-1	-1	-1	-1
9	1555	50	-1	809	50	-1	4	2	-1	4	2	-1	4	2	-1	4	2	-1	1	137	50	50	132	50	50	2	137	50	50	132	50	50	2	-1	-1	138	46	2	-1	-1	-1	-1	15	15	14	14	8	2	3	-1	-1	-1	-1	-1	2	2	2	2	-1	-1	-1	-1	-1	-1
