INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	INT	STRING	STRING	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
MissionIndex	MissionId	ÈÎÎñÀàÐÍ£¨¿Í»§¶Ë£©	ÊÇ·ñ¾«Ó¢£¨¿Í»§¶Ë£©	ÊÇ·ñÏÔÊ¾Íê³É£¨¿Í»§¶Ë£©	»·Êý£¨¿Í»§¶Ë£©	Íê³ÉÈÎÎñµÄNpcµÄ×ø±ê(X)	Íê³ÉÈÎÎñµÄNpcµÄ×ø±ê(Y)	ÈÎÎñÃû³Æ$1$	ÈÎÎñÄ¿±ê$1$	ÈÎÎñÏêÏ¸ÃèÊö$1$	ÈÎÎñ¼ÌÐøÐÅÏ¢$1$	ÈÎÎñÍê³ÉÐÅÏ¢$1$	½øÈëÇøÓòÊÇ·ñÓÐ¶Ô°×	½øÈëÇøÓòµÄ¶Ô°×$1$	½øÈëÇøÓòµÄÌáÊ¾$1$	½ÓÊÜÈÎÎñ³¡¾°ID	½ÓÊÜÈÎÎñNpcName$1$	½ÓÊÜÈÎÎñNpcGuid	Íê³ÉÈÎÎñ³¡¾°ID	Íê³ÉÈÎÎñNpcName$1$	Íê³ÉÈÎÎñNpcGuid	ÈÎÎñÐèÇóµÈ¼¶	Ç°ÐøÈÎÎñId1	Ç°ÐøÈÎÎñId2	Ç°ÐøÈÎÎñId3	½øÈëÇøÓò×ÜÊý	ÇøÓòËùÔÚ³¡¾°1	ÇøÓò1	ÇøÓòËùÔÚ³¡¾°2	ÇøÓò2	ÇøÓòËùÔÚ³¡¾°3	ÇøÓò3	½ðÇ®½±Àø	¾­Ñé½±Àø	¹Ì¶¨ÎïÆ·½±Àø1	¸öÊý1	¹Ì¶¨ÎïÆ·½±Àø2	¸öÊý2	¹Ì¶¨ÎïÆ·½±Àø3	¸öÊý3	¹Ì¶¨ÎïÆ·½±Àø4	¸öÊý4	¹Ì¶¨ÎïÆ·½±Àø5	¸öÊý5	¿ÉÑ¡ÎïÆ·½±Àø1	¸öÊý1	¿ÉÑ¡ÎïÆ·½±Àø2	¸öÊý2	¿ÉÑ¡ÎïÆ·½±Àø3	¸öÊý3	¿ÉÑ¡ÎïÆ·½±Àø4	¸öÊý4	¿ÉÑ¡ÎïÆ·½±Àø5	¸öÊý5	Òþ²Ø½±ÀøÎïÆ·1	¸öÊý1	Òþ²Ø½±ÀøÎïÆ·2	¸öÊý2	Òþ²Ø½±ÀøÎïÆ·3	¸öÊý3	ºóÐøÈÎÎñINDEX
1020000	495	17	0	1	0	240	175	Vô Lßþng Ng÷c Bích	#{MIS_TAR_ADD_183}	#{Mis_E_Wuliang_1020000}	  #{WLS_20080311_01}	  #{WLS_20080311_02}	1	  #{WLS_20080311_11}	#{MI_ENT9525_1}	6	Tân Song Thanh	0	6	Tân Song Thanh	0	3	-1	-1	-1	1	6	611					133	1460	10410060	1																									
1020070	604	37	0	1	0	182	163	L¶i kêu g÷i lß½ng thi®n	#{MIS_TAR_ADD_185}	#{Mis_E_Shilin_1020070}	  #{WLS_20080311_03}	  #{WLS_20080311_04}	0		#{MI_ENT9525_2}	26	Tr¸nh Huy«n	0	26	Tr¸nh Huy«n	0	55	602	-1	-1	1	26	2611					21800	7800											10410070	1	10412070	1													
1020060	621	39	0	1	0	150	49	Ðàn Tª H° Ði®p Th¥n	#{MIS_TAR_ADD_187}	#{Mis_E_Nanzhao_1020060}	  #{WLS_20080311_05}	  #{WLS_20080311_06}	0		#{MI_ENT9525_3}	28	A Vßþng	0	28	A Vßþng	0	84	-1	-1	-1	1	28	2811					66000	56000																											1000161
1020100	260	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- BÕch viên thÕch tr§n	#{MIS_TAR_ADD_189}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_4}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	250	-1	-1	1	6	612					5000	30000																											1020101
1020101	261	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Kiªm môn ði®p thuý	#{MIS_TAR_ADD_190}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_5}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	260	-1	-1	1	7	711					5000	30000																											1020102
1020102	262	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Hãn häi c¥u ph§t	#{MIS_TAR_ADD_191}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_6}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	261	-1	-1	1	8	811					5000	30000																											1020103
1020103	263	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Ng÷c ðái lâm phong	#{MIS_TAR_ADD_192}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_7}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	262	-1	-1	1	5	511					5000	30000																											1020104
1020104	264	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Vû tÕ ca ðài	#{MIS_TAR_ADD_193}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_8}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	263	-1	-1	1	4	411					5000	30000																											1020105
1020105	265	55	0	1	0	222	102	Anh hùng không sþ nÕn vi­n chinh -- Giang s½n ða ki«u	#{MIS_TAR_ADD_194}	#{Mis_Hero_enter}	  #{WLS_20080311_07}	  #{WLS_20080311_08}	0		#{MI_ENT9525_9}	2	Th¦m Quát	0	2	Th¦m Quát	0	75	264	-1	-1	1	3	311					5000	30000																											1020106
