INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
³èÎï±àºÅ	Ãû³Æ$1$	³èÎïÀàÐÍ	¿ÉÐ¯´øµÈ¼¶	ÕóÓª	ÊÇ·ñ±äÒì	ÊÇ·ñ±¦±¦	Ê³ÎïÀà	ËùÄÜÑ§µÄ¼¼ÄÜÊý	Ö÷¶¯¼¼ÄÜ	Ö÷¶¯¼¼ÄÜÉú³É¼¸ÂÊ£¨1/100w£©	Ö÷¶¯¼¼ÄÜ2	Ö÷¶¯¼¼ÄÜ2Éú³É¼¸ÂÊ£¨1/100w£©	±»¶¯¼¼ÄÜ1	±»¶¯¼¼ÄÜ1Éú³É¼¸ÂÊ£¨1/100W£©	±»¶¯¼¼ÄÜ2	±»¶¯¼¼ÄÜ2Éú³É¼¸ÂÊ£¨1/100W£©	±»¶¯¼¼ÄÜ3	±»¶¯¼¼ÄÜ3Éú³É¼¸ÂÊ£¨1/100W£©	±»¶¯¼¼ÄÜ4	±»¶¯¼¼ÄÜ4Éú³É¼¸ÂÊ£¨1/100W£©	±»¶¯¼¼ÄÜ5	±»¶¯¼¼ÄÜ5Éú³É¼¸ÂÊ£¨1/100W£©	±»¶¯¼¼ÄÜ6	±»¶¯¼¼ÄÜ6Éú³É¼¸ÂÊ£¨1/100W£©	±»¶¯¼¼ÄÜ7	±»¶¯¼¼ÄÜ7Éú³É¼¸ÂÊ£¨1/100W£©	±»¶¯¼¼ÄÜ8	±»¶¯¼¼ÄÜ8Éú³É¼¸ÂÊ£¨1/100W£©	±»¶¯¼¼ÄÜ9	±»¶¯¼¼ÄÜ9Éú³É¼¸ÂÊ£¨1/100W£©	±»¶¯¼¼ÄÜ10	±»¶¯¼¼ÄÜ10Éú³É¼¸ÂÊ£¨1/100W£©	±ê×¼ÊÙÃü	±ê×¼Á¦Á¿×ÊÖÊ	±ê×¼ÌåÖÊ×ÊÖÊ	±ê×¼ÁéÆø×ÊÖÊ	±ê×¼Éí·¨×ÊÖÊ	±ê×¼¶¨Á¦×ÊÖÊ	³É³¤ÂÊ1	³É³¤ÂÊ2	³É³¤ÂÊ3	³É³¤ÂÊ4	³É³¤ÂÊ5	µ¨Ð¡(1/1000)	½÷É÷(1/1000)	ÖÒ³Ï(1/1000)	¾«Ã÷(1/1000)	ÓÂÃÍ(1/1000)	³èÎï·±Ö³Ê±¼ä(ms)	Í¬Àà²Î¿¼ÕäÊÞÀàÐÍ
558	Phiêu Phiêu Áp	58	1	9	1	0	11	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	64800	500	500	500	500	500	500	550	575	650	750	900	50	20	20	10	60000	558
559	Phiêu Phiêu Th¯	59	1	9	1	0	100	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	64800	500	500	500	500	500	500	550	575	650	750	900	50	20	20	10	60000	559
2550	Chúc Dçn Thß½ng Minh Trß·ng Thành	255	5	9	0	0	1	10	692	300000	-1	-1	712	900000	658	250000	668	100000	718	50000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	750	1313	656	562	750	846	930	972	1099	1269	100	350	300	150	100	1	2550
2551	Chúc Dçn Thß½ng Minh Biªn D¸	255	5	9	1	0	1	10	692	300000	-1	-1	712	900000	658	250000	668	100000	718	50000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	862	1510	755	647	862	846	930	972	1099	1269	100	350	300	150	100	1	2550
2552	Chúc Dçn Thß½ng Minh Biªn D¸	255	5	9	1	0	1	10	692	300000	-1	-1	712	900000	658	250000	668	100000	718	50000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	975	1707	853	731	975	846	930	972	1099	1269	100	350	300	150	100	1	2550
2559	Chúc Dçn Thß½ng Minh Bäo Bäo	255	5	9	0	1	1	10	692	300000	-1	-1	712	900000	658	250000	668	100000	718	50000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	750	1313	656	562	750	846	930	972	1099	1269	100	350	300	150	100	1	2550
2560	Chúc Dçn Thß½ng Minh Trß·ng Thành	256	45	9	0	0	1	10	692	350000	-1	-1	712	900000	658	300000	668	150000	718	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	783	1370	685	587	783	948	1042	1090	1232	1422	100	350	300	150	100	1	2560
2561	Chúc Dçn Thß½ng Minh Biªn D¸	256	45	9	1	0	1	10	692	350000	-1	-1	712	900000	658	300000	668	150000	718	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	861	1507	753	646	861	948	1042	1090	1232	1422	100	350	300	150	100	1	2560
2562	Chúc Dçn Thß½ng Minh Biªn D¸	256	45	9	1	0	1	10	692	350000	-1	-1	712	900000	658	300000	668	150000	718	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	939	1644	822	704	939	948	1042	1090	1232	1422	100	350	300	150	100	1	2560
