INT	INT
Level	Exp
1	90
2	324
3	630
4	1152
5	1620
6	1800
7	1980
8	2160
9	2340
10	6300
11	7020
12	7776
13	8874
14	10044
15	11628
16	13320
17	15498
18	18216
19	21528
20	25488
21	30150
22	35568
23	41796
24	48888
25	57420
26	67500
27	78678
28	91008
29	104544
30	123624
31	144270
32	166536
33	190476
34	216144
35	243594
36	272880
37	304056
38	337176
39	372294
40	409860
41	449955
42	492660
43	538056
44	586224
45	637245
46	691200
47	748170
48	808236
49	871479
50	937980
51	1007820
52	1081080
53	1157841
54	1238184
55	1322190
56	1409940
57	1501515
58	1596996
59	1696464
60	1800000
61	1907685
62	2019600
63	2135826
64	2256444
65	2381535
66	2516850
67	2667825
68	2835000
69	3018915
70	3220110
71	3439125
72	3676500
73	3932775
74	4208490
75	4518405
76	4863600
77	5245155
78	5664150
79	6121665
80	6739740
81	7676775
82	9098370
83	11177325
84	14093640
85	18034515
86	23194350
87	29774745
88	37984500
89	48039615
90	60163290
91	74585925
92	91545120
93	111285675
94	134059590
95	160126065
96	189751500
97	223209495
98	260780850
99	302753565
100	307564920
101	312506775
102	317581830
103	322792785
104	328142340
105	333633195
106	339268050
107	345049605
108	350980560
109	357063615
110	363301470
111	369696825
112	376252380
113	382970835
114	389854890
115	396907245
116	404130600
117	411527655
118	419101110
119	426853665
120	434788020
121	442906875
122	451212930
123	459708885
124	468397440
125	477281295
126	486363150
127	495645705
128	505131660
129	514823715
130	524724570
131	524724570
132	524724570
133	524724570
134	524724570
135	524724570
136	524724570
137	524724570
138	524724570
139	524724570
140	524724570
141	524724570
142	524724570
143	524724570
144	524724570
145	524724570
146	524724570
147	524724570
148	524724570
149	524724570
150	524724570
151	524724570
152	524724570
153	524724570
154	524724570
155	524724570
156	524724570
157	524724570
158	524724570
159	524724570
160	524724570
161	524724570
162	524724570
163	524724570
164	524724570
165	524724570
166	524724570
167	524724570
168	524724570
169	524724570
170	524724570
171	524724570
172	524724570
173	524724570
174	524724570
175	524724570
176	524724570
177	524724570
178	524724570
179	524724570
180	524724570
181	524724570
182	524724570
183	524724570
184	524724570
185	524724570
186	524724570
187	524724570
188	524724570
189	524724570
190	524724570
191	524724570
192	524724570
193	524724570
194	524724570
195	524724570
196	524724570
197	524724570
198	524724570
199	524724570
200	524724570
201	524724570
202	524724570
203	524724570
204	524724570
205	524724570
206	524724570
207	524724570
208	524724570
209	524724570
210	524724570
211	524724570
212	524724570
213	524724570
214	524724570
215	524724570
216	524724570
217	524724570
218	524724570
219	524724570
220	524724570
221	524724570
222	524724570
223	524724570
224	524724570
225	524724570
226	524724570
227	524724570
228	524724570
229	524724570
230	524724570
231	524724570
232	524724570
233	524724570
234	524724570
235	524724570
236	524724570
237	524724570
238	524724570
239	524724570
240	524724570
241	524724570
242	524724570
243	524724570
244	524724570
245	524724570
246	524724570
247	524724570
248	524724570
249	524724570
250	524724570
251	524724570
252	524724570
253	524724570
254	524724570
255	0
